,農林水産業,鉱業,製造業,卸売・小売業,サービス業
岡山県,"80,062","7,681","1,914,382","814,104","1,327,503"
広島県,"78,472","3,084","2,625,876","1,512,506","2,058,746"
山口県,"53,585","7,555","1,789,191","465,803","959,416"
徳島県,"64,742","1,544","738,878","265,088","498,472"
香川県,"48,197","3,479","797,363","491,800","715,169"
愛媛県,"99,887","4,460","1,185,953","546,591","879,641"
高知県,"83,594","7,671","171,286","276,190","508,580"
福岡県,"137,296","18,598","2,722,660","2,600,979","3,899,277"
佐賀県,"70,562","2,760","522,122","232,281","512,615"
長崎県,"116,171","4,882","576,061","512,987","975,202"
熊本県,"174,993","3,828","950,815","616,150","1,186,464"
大分県,"94,324","12,105","940,655","374,412","764,867"
宮崎県,"152,001","2,484","476,064","408,899","760,026"
鹿児島県,"189,594","30,560","657,091","652,451","1,134,062"
沖縄県,"54,557","5,429","195,122","411,985","969,349"
北海道,"679,592","31,408","1,707,605","2,345,691","3,942,694"
青森県,"163,788","9,422","664,694","494,167","855,904"
岩手県,"147,377","3,795","541,471","422,212","770,092"
宮城県,"117,133","2,685","1,064,204","1,060,261","1,541,306"
秋田県,"99,360","8,751","446,403","366,390","670,242"
山形県,"119,951","3,803","698,844","374,022","669,541"
福島県,"139,558","3,326","1,655,022","603,478","1,232,099"
茨城県,"243,566","5,625","3,382,448","1,032,136","1,892,337"
栃木県,"142,513","14,098","2,607,326","764,533","1,470,634"
群馬県,"106,382","2,044","2,425,570","765,007","1,222,500"
埼玉県,"121,717","5,927","3,859,277","2,385,474","3,632,711"
千葉県,"223,208","11,859","3,692,335","1,937,862","3,564,849"
東京都,"47,985","23,796","6,309,050","18,334,598","18,804,600"
神奈川県,"58,971","1,608","5,436,510","3,116,060","6,096,079"
新潟県,"171,173","79,443","1,585,697","963,871","1,506,464"
富山県,"49,934","6,186","1,139,959","467,475","685,645"
石川県,"44,885","5,173","778,361","561,613","860,244"
福井県,"34,725","1,679","636,458","284,780","561,557"
山梨県,"55,354","2,758","776,788","289,958","577,639"
長野県,"146,442","10,321","1,855,431","691,506","1,424,670"
岐阜県,"74,660","18,408","1,721,485","728,723","1,356,869"
静岡県,"154,484","6,586","5,123,232","1,211,004","2,406,971"
愛知県,"164,706","10,100","9,170,265","4,443,210","5,524,336"
三重県,"85,984","7,194","2,490,969","654,024","1,135,407"
滋賀県,"35,923","2,203","2,284,976","420,251","857,702"
京都府,"41,381","2,098","2,082,456","1,054,874","1,896,889"
大阪府,"39,336","2,180","5,411,640","6,259,268","8,050,445"
兵庫県,"100,541","7,802","4,201,286","2,263,128","3,738,708"
奈良県,"23,121",314,"589,633","314,208","775,472"
和歌山県,"75,846","1,384","948,601","340,991","585,364"
鳥取県,"42,194",903,"219,674","195,251","347,745"
島根県,"38,924","2,980","312,716","220,419","442,426"
岡山県,"76,912","7,301","1,862,257","766,915","1,310,852"
広島県,"77,106","2,930","2,306,129","1,447,319","2,041,148"
山口県,"49,047","7,240","1,798,842","468,107","946,522"
徳島県,"65,796","1,453","752,984","247,992","506,667"
香川県,"48,815","3,548","694,273","481,710","726,719"
愛媛県,"104,200","4,102","987,513","518,963","895,213"
高知県,"84,889","7,446","167,150","254,273","502,059"
福岡県,"139,554","15,693","2,764,085","2,491,152","3,936,924"
佐賀県,"74,550","2,683","538,505","237,212","509,638"
長崎県,"112,079","4,408","600,510","477,991","966,056"
熊本県,"168,008","3,822","891,120","594,639","1,165,377"
大分県,"93,119","11,427","1,001,264","392,526","784,869"
宮崎県,"152,581","2,557","458,393","404,473","750,895"
鹿児島県,"188,765","25,819","743,806","616,593","1,119,053"
沖縄県,"69,311","5,515","163,722","401,868","961,644"
北海道,"683,851","33,396","1,648,511","2,314,876","3,966,272"
青森県,"165,867","9,899","640,879","488,307","857,833"
岩手県,"154,246","4,343","585,551","425,183","767,478"
宮城県,"130,904","2,622","950,784","1,073,582","1,534,748"
秋田県,"110,024","9,482","412,616","362,760","678,332"
山形県,"119,220","3,711","598,729","365,385","666,894"
福島県,"144,527","3,412","1,607,171","600,650","1,276,863"
茨城県,"232,868","5,346","2,973,821","1,040,150","1,926,505"
栃木県,"133,416","11,932","2,408,326","766,210","1,475,160"
群馬県,"103,042","1,753","2,237,380","739,401","1,252,266"
埼玉県,"117,465","5,562","3,723,518","2,215,902","3,642,096"
千葉県,"220,004","15,571","3,738,776","1,845,824","3,598,496"
東京都,"46,924","23,212","6,412,562","18,114,074","18,545,368"
神奈川県,"56,051","1,925","4,895,439","3,169,186","6,218,431"
新潟県,"168,092","74,467","1,506,678","920,202","1,544,928"
富山県,"50,196","4,905","916,476","465,935","703,442"
石川県,"43,714","4,283","729,602","532,486","858,640"
福井県,"33,743","1,920","578,906","311,955","567,404"
山梨県,"54,311","2,403","595,397","290,032","583,927"
長野県,"142,211","8,483","1,752,216","692,615","1,426,221"
岐阜県,"79,333","15,177","1,621,401","751,328","1,366,121"
静岡県,"152,040","7,051","4,836,260","1,131,675","2,411,645"
愛知県,"161,136","9,634","9,525,083","4,313,836","5,552,277"
三重県,"84,752","6,308","2,331,291","647,765","1,133,075"
滋賀県,"37,354","2,281","2,149,886","430,895","855,858"
京都府,"40,625","2,346","2,071,222","1,018,044","1,911,006"
大阪府,"38,097","1,420","5,272,894","6,024,008","8,180,422"
兵庫県,"97,407","6,120","3,721,742","2,006,486","3,735,272"
奈良県,"20,581",270,"472,095","307,595","786,069"
和歌山県,"61,550","1,257","811,667","336,435","594,765"
鳥取県,"41,860",946,"260,569","202,034","354,499"
島根県,"41,350","3,668","288,986","220,129","433,739"
岡山県,"77,991","6,946","1,845,284","780,609","1,310,571"
広島県,"75,780","2,099","2,213,775","1,474,751","2,038,714"
山口県,"54,000","6,658","1,668,216","466,045","957,422"
徳島県,"56,964","1,348","667,831","233,746","513,421"
香川県,"50,081","3,416","758,735","463,677","738,206"
愛媛県,"93,772","3,564","870,018","496,202","911,086"
高知県,"78,390","7,524","164,715","254,879","496,376"
